Survived,Pclass,Sex,Age,Fare,Cabin,Embarked_0,Embarked_1,Embarked_2,FamilySize
0,3,1,22.0,7.25,,0,0,1,1
1,1,0,38.0,71.2833,C85,1,0,0,1
1,3,0,26.0,7.925,,0,0,1,0
1,1,0,35.0,53.1,C123,0,0,1,1
0,3,1,35.0,8.05,,0,0,1,0
0,3,1,29.69911764705882,8.4583,,0,1,0,0
0,1,1,54.0,51.8625,E46,0,0,1,0
0,3,1,2.0,21.075,,0,0,1,4
1,3,0,27.0,11.1333,,0,0,1,2
1,2,0,14.0,30.0708,,1,0,0,1
1,3,0,4.0,16.7,G6,0,0,1,2
1,1,0,58.0,26.55,C103,0,0,1,0
0,3,1,20.0,8.05,,0,0,1,0
0,3,1,39.0,31.275,,0,0,1,6
0,3,0,14.0,7.8542,,0,0,1,0
1,2,0,55.0,16.0,,0,0,1,0
0,3,1,2.0,29.125,,0,1,0,5
1,2,1,29.69911764705882,13.0,,0,0,1,0
0,3,0,31.0,18.0,,0,0,1,1
1,3,0,29.69911764705882,7.225,,1,0,0,0
0,2,1,35.0,26.0,,0,0,1,0
1,2,1,34.0,13.0,D56,0,0,1,0
1,3,0,15.0,8.0292,,0,1,0,0
1,1,1,28.0,35.5,A6,0,0,1,0
0,3,0,8.0,21.075,,0,0,1,4
1,3,0,38.0,31.3875,,0,0,1,6
0,3,1,29.69911764705882,7.225,,1,0,0,0
0,1,1,19.0,263.0,C23 C25 C27,0,0,1,5
1,3,0,29.69911764705882,7.8792,,0,1,0,0
0,3,1,29.69911764705882,7.8958,,0,0,1,0
0,1,1,40.0,27.7208,,1,0,0,0
1,1,0,29.69911764705882,146.5208,B78,1,0,0,1
1,3,0,29.69911764705882,7.75,,0,1,0,0
0,2,1,66.0,10.5,,0,0,1,0
0,1,1,28.0,82.1708,,1,0,0,1
0,1,1,42.0,52.0,,0,0,1,1
1,3,1,29.69911764705882,7.2292,,1,0,0,0
0,3,1,21.0,8.05,,0,0,1,0
0,3,0,18.0,18.0,,0,0,1,2
1,3,0,14.0,11.2417,,1,0,0,1
0,3,0,40.0,9.475,,0,0,1,1
0,2,0,27.0,21.0,,0,0,1,1
0,3,1,29.69911764705882,7.8958,,1,0,0,0
1,2,0,3.0,41.5792,,1,0,0,3
1,3,0,19.0,7.8792,,0,1,0,0
0,3,1,29.69911764705882,8.05,,0,0,1,0
0,3,1,29.69911764705882,15.5,,0,1,0,1
1,3,0,29.69911764705882,7.75,,0,1,0,0
0,3,1,29.69911764705882,21.6792,,1,0,0,2
0,3,0,18.0,17.8,,0,0,1,1
0,3,1,7.0,39.6875,,0,0,1,5
0,3,1,21.0,7.8,,0,0,1,0
1,1,0,49.0,76.7292,D33,1,0,0,1
1,2,0,29.0,26.0,,0,0,1,1
0,1,1,65.0,61.9792,B30,1,0,0,1
1,1,1,29.69911764705882,35.5,C52,0,0,1,0
1,2,0,21.0,10.5,,0,0,1,0
0,3,1,28.5,7.2292,,1,0,0,0
1,2,0,5.0,27.75,,0,0,1,3
0,3,1,11.0,46.9,,0,0,1,7
0,3,1,22.0,7.2292,,1,0,0,0
1,1,0,38.0,80.0,B28,0,0,1,0
0,1,1,45.0,83.475,C83,0,0,1,1
0,3,1,4.0,27.9,,0,0,1,5
0,1,1,29.69911764705882,27.7208,,1,0,0,0
1,3,1,29.69911764705882,15.2458,,1,0,0,2
1,2,0,29.0,10.5,F33,0,0,1,0
0,3,1,19.0,8.1583,,0,0,1,0
1,3,0,17.0,7.925,,0,0,1,6
0,3,1,26.0,8.6625,,0,0,1,2
0,2,1,32.0,10.5,,0,0,1,0
0,3,0,16.0,46.9,,0,0,1,7
0,2,1,21.0,73.5,,0,0,1,0
0,3,1,26.0,14.4542,,1,0,0,1
1,3,1,32.0,56.4958,,0,0,1,0
0,3,1,25.0,7.65,F G73,0,0,1,0
0,3,1,29.69911764705882,7.8958,,0,0,1,0
0,3,1,29.69911764705882,8.05,,0,0,1,0
1,2,1,0.83,29.0,,0,0,1,2
1,3,0,30.0,12.475,,0,0,1,0
0,3,1,22.0,9.0,,0,0,1,0
1,3,1,29.0,9.5,,0,0,1,0
1,3,0,29.69911764705882,7.7875,,0,1,0,0
0,1,1,28.0,47.1,,0,0,1,0
1,2,0,17.0,10.5,,0,0,1,0
1,3,0,33.0,15.85,,0,0,1,3
0,3,1,16.0,34.375,,0,0,1,4
0,3,1,29.69911764705882,8.05,,0,0,1,0
1,1,0,23.0,263.0,C23 C25 C27,0,0,1,5
0,3,1,24.0,8.05,,0,0,1,0
0,3,1,29.0,8.05,,0,0,1,0
0,3,1,20.0,7.8542,,0,0,1,0
0,1,1,46.0,61.175,E31,0,0,1,1
0,3,1,26.0,20.575,,0,0,1,3
0,3,1,59.0,7.25,,0,0,1,0
0,3,1,29.69911764705882,8.05,,0,0,1,0
0,1,1,71.0,34.6542,A5,1,0,0,0
1,1,1,23.0,63.3583,D10 D12,1,0,0,1
1,2,0,34.0,23.0,,0,0,1,1
0,2,1,34.0,26.0,,0,0,1,1
0,3,0,28.0,7.8958,,0,0,1,0
0,3,1,29.69911764705882,7.8958,,0,0,1,0
0,1,1,21.0,77.2875,D26,0,0,1,1
0,3,1,33.0,8.6542,,0,0,1,0
0,3,1,37.0,7.925,,0,0,1,2
0,3,1,28.0,7.8958,,0,0,1,0
1,3,0,21.0,7.65,,0,0,1,0
1,3,1,29.69911764705882,7.775,,0,0,1,0
0,3,1,38.0,7.8958,,0,0,1,0
1,3,0,29.69911764705882,24.15,,0,1,0,1
0,1,1,47.0,52.0,C110,0,0,1,0
0,3,0,14.5,14.4542,,1,0,0,1
0,3,1,22.0,8.05,,0,0,1,0
0,3,0,20.0,9.825,,0,0,1,1
0,3,0,17.0,14.4583,,1,0,0,0
0,3,1,21.0,7.925,,0,0,1,0
0,3,1,70.5,7.75,,0,1,0,0
0,2,1,29.0,21.0,,0,0,1,1
0,1,1,24.0,247.5208,B58 B60,1,0,0,1
0,3,0,2.0,31.275,,0,0,1,6
0,2,1,21.0,73.5,,0,0,1,2
0,3,1,29.69911764705882,8.05,,0,0,1,0
0,2,1,32.5,30.0708,,1,0,0,1
1,2,0,32.5,13.0,E101,0,0,1,0
0,1,1,54.0,77.2875,D26,0,0,1,1
1,3,1,12.0,11.2417,,1,0,0,1
0,3,1,29.69911764705882,7.75,,0,1,0,0
1,3,1,24.0,7.1417,,0,0,1,0
1,3,0,29.69911764705882,22.3583,F E69,1,0,0,2
0,3,1,45.0,6.975,,0,0,1,0
0,3,1,33.0,7.8958,,1,0,0,0
0,3,1,20.0,7.05,,0,0,1,0
0,3,0,47.0,14.5,,0,0,1,1
1,2,0,29.0,26.0,,0,0,1,1
0,2,1,25.0,13.0,,0,0,1,0
0,2,1,23.0,15.0458,,1,0,0,0
1,1,0,19.0,26.2833,D47,0,0,1,2
0,1,1,37.0,53.1,C123,0,0,1,1
0,3,1,16.0,9.2167,,0,0,1,0
0,1,1,24.0,79.2,B86,1,0,0,0
0,3,0,29.69911764705882,15.2458,,1,0,0,2
1,3,0,22.0,7.75,,0,0,1,0
1,3,0,24.0,15.85,,0,0,1,1
0,3,1,19.0,6.75,,0,1,0,0
0,2,1,18.0,11.5,,0,0,1,0
0,2,1,19.0,36.75,,0,0,1,2
1,3,1,27.0,7.7958,,0,0,1,0
0,3,0,9.0,34.375,,0,0,1,4
0,2,1,36.5,26.0,F2,0,0,1,2
0,2,1,42.0,13.0,,0,0,1,0
0,2,1,51.0,12.525,,0,0,1,0
1,1,0,22.0,66.6,C2,0,0,1,1
0,3,1,55.5,8.05,,0,0,1,0
0,3,1,40.5,14.5,,0,0,1,2
0,3,1,29.69911764705882,7.3125,,0,0,1,0
0,1,1,51.0,61.3792,,1,0,0,1
1,3,0,16.0,7.7333,,0,1,0,0
0,3,1,30.0,8.05,,0,0,1,0
0,3,1,29.69911764705882,8.6625,,0,0,1,0
0,3,1,29.69911764705882,69.55,,0,0,1,10
0,3,1,44.0,16.1,,0,0,1,1
1,2,0,40.0,15.75,,0,0,1,0
0,3,1,26.0,7.775,,0,0,1,0
0,3,1,17.0,8.6625,,0,0,1,0
0,3,1,1.0,39.6875,,0,0,1,5
1,3,1,9.0,20.525,,0,0,1,2
1,1,0,29.69911764705882,55.0,E33,0,0,1,1
0,3,0,45.0,27.9,,0,0,1,5
0,1,1,29.69911764705882,25.925,,0,0,1,0
0,3,1,28.0,56.4958,,0,0,1,0
0,1,1,61.0,33.5,B19,0,0,1,0
0,3,1,4.0,29.125,,0,1,0,5
1,3,0,1.0,11.1333,,0,0,1,2
0,3,1,21.0,7.925,,0,0,1,0
0,1,1,56.0,30.6958,A7,1,0,0,0
0,3,1,18.0,7.8542,,0,0,1,2
0,3,1,29.69911764705882,25.4667,,0,0,1,4
0,1,0,50.0,28.7125,C49,1,0,0,0
0,2,1,30.0,13.0,,0,0,1,0
0,3,1,36.0,0.0,,0,0,1,0
0,3,0,29.69911764705882,69.55,,0,0,1,10
0,2,1,29.69911764705882,15.05,,1,0,0,0
0,3,1,9.0,31.3875,,0,0,1,6
1,2,1,1.0,39.0,F4,0,0,1,3
1,3,0,4.0,22.025,,0,0,1,2
0,1,1,29.69911764705882,50.0,A32,0,0,1,0
1,3,0,29.69911764705882,15.5,,0,1,0,1
1,1,1,45.0,26.55,,0,0,1,0
0,3,1,40.0,15.5,,0,1,0,2
0,3,1,36.0,7.8958,,0,0,1,0
1,2,0,32.0,13.0,,0,0,1,0
0,2,1,19.0,13.0,,0,0,1,0
1,3,0,19.0,7.8542,,0,0,1,1
1,2,1,3.0,26.0,F2,0,0,1,2
1,1,0,44.0,27.7208,B4,1,0,0,0
1,1,0,58.0,146.5208,B80,1,0,0,0
0,3,1,29.69911764705882,7.75,,0,1,0,0
0,3,1,42.0,8.4042,,0,0,1,1
1,3,0,29.69911764705882,7.75,,0,1,0,0
0,2,0,24.0,13.0,,0,0,1,0
0,3,1,28.0,9.5,,0,0,1,0
0,3,1,29.69911764705882,69.55,,0,0,1,10
0,3,1,34.0,6.4958,,0,0,1,0
0,3,1,45.5,7.225,,1,0,0,0
1,3,1,18.0,8.05,,0,0,1,0
0,3,0,2.0,10.4625,G6,0,0,1,1
0,3,1,32.0,15.85,,0,0,1,1
1,3,1,26.0,18.7875,,1,0,0,0
1,3,0,16.0,7.75,,0,1,0,0
1,1,1,40.0,31.0,A31,1,0,0,0
0,3,1,24.0,7.05,,0,0,1,0
1,2,0,35.0,21.0,,0,0,1,0
0,3,1,22.0,7.25,,0,0,1,0
0,2,1,30.0,13.0,,0,0,1,0
0,3,1,29.69911764705882,7.75,,0,1,0,1
1,1,0,31.0,113.275,D36,1,0,0,1
1,3,0,27.0,7.925,,0,0,1,0
0,2,1,42.0,27.0,,0,0,1,1
1,1,0,32.0,76.2917,D15,1,0,0,0
0,2,1,30.0,10.5,,0,0,1,0
1,3,1,16.0,8.05,,0,0,1,0
0,2,1,27.0,13.0,,0,0,1,0
0,3,1,51.0,8.05,,0,0,1,0
0,3,1,29.69911764705882,7.8958,,0,0,1,0
1,1,1,38.0,90.0,C93,0,0,1,1
0,3,1,22.0,9.35,,0,0,1,0
1,2,1,19.0,10.5,,0,0,1,0
0,3,1,20.5,7.25,,0,0,1,0
0,2,1,18.0,13.0,,0,0,1,0
0,3,0,29.69911764705882,25.4667,,0,0,1,4
1,1,0,35.0,83.475,C83,0,0,1,1
0,3,1,29.0,7.775,,0,0,1,0
0,2,1,59.0,13.5,,0,0,1,0
1,3,0,5.0,31.3875,,0,0,1,6
0,2,1,24.0,10.5,,0,0,1,0
0,3,0,29.69911764705882,7.55,,0,0,1,0
0,2,1,44.0,26.0,,0,0,1,1
1,2,0,8.0,26.25,,0,0,1,2
0,2,1,19.0,10.5,,0,0,1,0
0,2,1,33.0,12.275,,0,0,1,0
0,3,0,29.69911764705882,14.4542,,1,0,0,1
1,3,0,29.69911764705882,15.5,,0,1,0,1
0,2,1,29.0,10.5,,0,0,1,0
0,3,1,22.0,7.125,,0,0,1,0
0,3,1,30.0,7.225,,1,0,0,0
0,1,1,44.0,90.0,C78,0,1,0,2
0,3,0,25.0,7.775,,0,0,1,0
1,2,0,24.0,14.5,,0,0,1,2
1,1,1,37.0,52.5542,D35,0,0,1,2
0,2,1,54.0,26.0,,0,0,1,1
0,3,1,29.69911764705882,7.25,,0,0,1,0
0,3,0,29.0,10.4625,G6,0,0,1,2
0,1,1,62.0,26.55,C87,0,0,1,0
0,3,1,30.0,16.1,,0,0,1,1
0,3,0,41.0,20.2125,,0,0,1,2
1,3,0,29.0,15.2458,,1,0,0,2
1,1,0,29.69911764705882,79.2,,1,0,0,0
1,1,0,30.0,86.5,B77,0,0,1,0
1,1,0,35.0,512.3292,,1,0,0,0
1,2,0,50.0,26.0,,0,0,1,1
0,3,1,29.69911764705882,7.75,,0,1,0,0
1,3,1,3.0,31.3875,,0,0,1,6
0,1,1,52.0,79.65,E67,0,0,1,2
0,1,1,40.0,0.0,B94,0,0,1,0
0,3,0,29.69911764705882,7.75,,0,1,0,0
0,2,1,36.0,10.5,,0,0,1,0
0,3,1,16.0,39.6875,,0,0,1,5
1,3,1,25.0,7.775,,0,0,1,1
1,1,0,58.0,153.4625,C125,0,0,1,1
1,1,0,35.0,135.6333,C99,0,0,1,0
0,1,1,29.69911764705882,31.0,,0,0,1,0
1,3,1,25.0,0.0,,0,0,1,0
1,2,0,41.0,19.5,,0,0,1,1
0,1,1,37.0,29.7,C118,1,0,0,1
1,3,0,29.69911764705882,7.75,,0,1,0,0
1,1,0,63.0,77.9583,D7,0,0,1,1
0,3,0,45.0,7.75,,0,0,1,0
0,2,1,29.69911764705882,0.0,,0,0,1,0
0,3,1,7.0,29.125,,0,1,0,5
1,3,0,35.0,20.25,,0,0,1,2
0,3,1,65.0,7.75,,0,1,0,0
0,3,1,28.0,7.8542,,0,0,1,0
0,3,1,16.0,9.5,,0,0,1,0
1,3,1,19.0,8.05,,0,0,1,0
0,1,1,29.69911764705882,26.0,A19,0,0,1,0
0,3,1,33.0,8.6625,,1,0,0,0
1,3,1,30.0,9.5,,0,0,1,0
0,3,1,22.0,7.8958,,0,0,1,0
1,2,1,42.0,13.0,,0,0,1,0
1,3,0,22.0,7.75,,0,1,0,0
1,1,0,26.0,78.85,,0,0,1,0
1,1,0,19.0,91.0792,B49,1,0,0,1
0,2,1,36.0,12.875,D,1,0,0,0
0,3,0,24.0,8.85,,0,0,1,0
0,3,1,24.0,7.8958,,0,0,1,0
0,1,1,29.69911764705882,27.7208,,1,0,0,0
0,3,1,23.5,7.2292,,1,0,0,0
0,1,0,2.0,151.55,C22 C26,0,0,1,3
1,1,1,29.69911764705882,30.5,C106,0,0,1,0
1,1,0,50.0,247.5208,B58 B60,1,0,0,1
1,3,0,29.69911764705882,7.75,,0,1,0,0
1,3,1,29.69911764705882,23.25,,0,1,0,2
0,3,1,19.0,0.0,,0,0,1,0
1,2,0,29.69911764705882,12.35,E101,0,1,0,0
0,3,1,29.69911764705882,8.05,,0,0,1,0
1,1,1,0.92,151.55,C22 C26,0,0,1,3
1,1,0,29.69911764705882,110.8833,,1,0,0,0
1,1,0,17.0,108.9,C65,1,0,0,1
0,2,1,30.0,24.0,,1,0,0,1
1,1,0,30.0,56.9292,E36,1,0,0,0
1,1,0,24.0,83.1583,C54,1,0,0,0
1,1,0,18.0,262.375,B57 B59 B63 B66,1,0,0,4
0,2,0,26.0,26.0,,0,0,1,2
0,3,1,28.0,7.8958,,0,0,1,0
0,2,1,43.0,26.25,,0,0,1,2
1,3,0,26.0,7.8542,,0,0,1,0
1,2,0,24.0,26.0,,0,0,1,1
0,2,1,54.0,14.0,,0,0,1,0
1,1,0,31.0,164.8667,C7,0,0,1,2
1,1,0,40.0,134.5,E34,1,0,0,2
0,3,1,22.0,7.25,,0,0,1,0
0,3,1,27.0,7.8958,,0,0,1,0
1,2,0,30.0,12.35,,0,1,0,0
1,2,0,22.0,29.0,,0,0,1,2
0,3,1,29.69911764705882,69.55,,0,0,1,10
1,1,0,36.0,135.6333,C32,1,0,0,0
0,3,1,61.0,6.2375,,0,0,1,0
1,2,0,36.0,13.0,D,0,0,1,0
1,3,0,31.0,20.525,,0,0,1,2
1,1,0,16.0,57.9792,B18,1,0,0,1
1,3,0,29.69911764705882,23.25,,0,1,0,2
0,1,1,45.5,28.5,C124,0,0,1,0
0,1,1,38.0,153.4625,C91,0,0,1,1
0,3,1,16.0,18.0,,0,0,1,2
1,1,0,29.69911764705882,133.65,,0,0,1,1
0,3,1,29.69911764705882,7.8958,,0,0,1,0
0,1,1,29.0,66.6,C2,0,0,1,1
1,1,0,41.0,134.5,E40,1,0,0,0
1,3,1,45.0,8.05,,0,0,1,0
0,1,1,45.0,35.5,T,0,0,1,0
1,2,1,2.0,26.0,F2,0,0,1,2
1,1,0,24.0,263.0,C23 C25 C27,0,0,1,5
0,2,1,28.0,13.0,,0,0,1,0
0,2,1,25.0,13.0,,0,0,1,0
0,2,1,36.0,13.0,,0,0,1,0
1,2,0,24.0,13.0,F33,0,0,1,0
1,2,0,40.0,13.0,,0,0,1,0
1,3,0,29.69911764705882,16.1,,0,0,1,1
1,3,1,3.0,15.9,,0,0,1,2
0,3,1,42.0,8.6625,,0,0,1,0
0,3,1,23.0,9.225,,0,0,1,0
0,1,1,29.69911764705882,35.0,C128,0,0,1,0
0,3,1,15.0,7.2292,,1,0,0,2
0,3,1,25.0,17.8,,0,0,1,1
0,3,1,29.69911764705882,7.225,,1,0,0,0
0,3,1,28.0,9.5,,0,0,1,0
1,1,0,22.0,55.0,E33,0,0,1,1
0,2,0,38.0,13.0,,0,0,1,0
1,3,0,29.69911764705882,7.8792,,0,1,0,0
1,3,0,29.69911764705882,7.8792,,0,1,0,0
0,3,1,40.0,27.9,,0,0,1,5
0,2,1,29.0,27.7208,,1,0,0,1
0,3,0,45.0,14.4542,,1,0,0,1
0,3,1,35.0,7.05,,0,0,1,0
0,3,1,29.69911764705882,15.5,,0,1,0,1
0,3,1,30.0,7.25,,0,0,1,0
1,1,0,60.0,75.25,D37,1,0,0,1
1,3,0,29.69911764705882,7.2292,,1,0,0,0
1,3,0,29.69911764705882,7.75,,0,1,0,0
1,1,0,24.0,69.3,B35,1,0,0,0
1,1,1,25.0,55.4417,E50,1,0,0,1
0,3,1,18.0,6.4958,,0,0,1,1
0,3,1,19.0,8.05,,0,0,1,0
0,1,1,22.0,135.6333,,1,0,0,0
0,3,0,3.0,21.075,,0,0,1,4
1,1,0,29.69911764705882,82.1708,,1,0,0,1
1,3,0,22.0,7.25,,0,0,1,0
0,1,1,27.0,211.5,C82,1,0,0,2
0,3,1,20.0,4.0125,,1,0,0,0
0,3,1,19.0,7.775,,0,0,1,0
1,1,0,42.0,227.525,,1,0,0,0
1,3,0,1.0,15.7417,,1,0,0,2
0,3,1,32.0,7.925,,0,0,1,0
1,1,0,35.0,52.0,,0,0,1,1
0,3,1,29.69911764705882,7.8958,,0,0,1,0
0,2,1,18.0,73.5,,0,0,1,0
0,3,1,1.0,46.9,,0,0,1,7
1,2,0,36.0,13.0,,0,0,1,0
0,3,1,29.69911764705882,7.7292,,0,1,0,0
1,2,0,17.0,12.0,,1,0,0,0
1,1,1,36.0,120.0,B96 B98,0,0,1,3
1,3,1,21.0,7.7958,,0,0,1,0
0,3,1,28.0,7.925,,0,0,1,2
1,1,0,23.0,113.275,D36,1,0,0,1
1,3,0,24.0,16.7,G6,0,0,1,2
0,3,1,22.0,7.7958,,0,0,1,0
0,3,0,31.0,7.8542,,0,0,1,0
0,2,1,46.0,26.0,,0,0,1,0
0,2,1,23.0,10.5,,0,0,1,0
1,2,0,28.0,12.65,,0,0,1,0
1,3,1,39.0,7.925,,0,0,1,0
0,3,1,26.0,8.05,,0,0,1,0
0,3,0,21.0,9.825,,0,0,1,1
0,3,1,28.0,15.85,,0,0,1,1
0,3,0,20.0,8.6625,,0,0,1,0
0,2,1,34.0,21.0,,0,0,1,1
0,3,1,51.0,7.75,,0,0,1,0
1,2,1,3.0,18.75,,0,0,1,2
0,3,1,21.0,7.775,,0,0,1,0
0,3,0,29.69911764705882,25.4667,,0,0,1,4
0,3,1,29.69911764705882,7.8958,,0,0,1,0
0,3,1,29.69911764705882,6.8583,,0,1,0,0
1,1,0,33.0,90.0,C78,0,1,0,1
0,2,1,29.69911764705882,0.0,,0,0,1,0
1,3,1,44.0,7.925,,0,0,1,0
0,3,0,29.69911764705882,8.05,,0,0,1,0
1,2,0,34.0,32.5,,0,0,1,2
1,2,0,18.0,13.0,,0,0,1,2
0,2,1,30.0,13.0,,0,0,1,0
0,3,0,10.0,24.15,,0,0,1,2
0,3,1,29.69911764705882,7.8958,,1,0,0,0
0,3,1,21.0,7.7333,,0,1,0,0
0,3,1,29.0,7.875,,0,0,1,0
0,3,0,28.0,14.4,,0,0,1,2
0,3,1,18.0,20.2125,,0,0,1,2
0,3,1,29.69911764705882,7.25,,0,0,1,0
1,2,0,28.0,26.0,,0,0,1,1
1,2,0,19.0,26.0,,0,0,1,0
0,3,1,29.69911764705882,7.75,,0,1,0,0
1,3,1,32.0,8.05,E10,0,0,1,0
1,1,1,28.0,26.55,C52,0,0,1,0
1,3,0,29.69911764705882,16.1,,0,0,1,1
1,2,0,42.0,26.0,,0,0,1,1
0,3,1,17.0,7.125,,0,0,1,0
0,1,1,50.0,55.9,E44,0,0,1,1
1,1,0,14.0,120.0,B96 B98,0,0,1,3
0,3,0,21.0,34.375,,0,0,1,4
1,2,0,24.0,18.75,,0,0,1,5
0,1,1,64.0,263.0,C23 C25 C27,0,0,1,5
0,2,1,31.0,10.5,,0,0,1,0
1,2,0,45.0,26.25,,0,0,1,2
0,3,1,20.0,9.5,,0,0,1,0
0,3,1,25.0,7.775,,0,0,1,1
1,2,0,28.0,13.0,,0,0,1,0
1,3,1,29.69911764705882,8.1125,,0,0,1,0
